,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
1650,18795.74000000,571.08000000,28.03070000,78.60000000,16.75900000,0.57857000,0.14688000,1.41880000,0.15830000,0.22490000,12.51310000,7.04790000,0.51680000,0.30710000
1651,18742.63000000,564.29000000,27.84280000,77.22000000,16.64300000,0.56839000,0.14377000,1.39520000,0.15495000,0.22240000,12.19800000,6.78930000,0.51010000,0.30350000
1652,18777.86000000,566.32000000,27.83880000,77.88000000,16.68800000,0.57237000,0.14440000,1.43020000,0.15625000,0.22230000,12.26800000,6.88550000,0.51210000,0.30430000
1653,18340.01000000,555.01000000,27.53940000,76.00000000,16.25500000,0.56035000,0.13956000,1.33250000,0.15124000,0.21850000,12.01280000,6.67180000,0.50060000,0.29720000
1654,18324.11000000,554.94000000,27.67050000,76.76000000,16.45600000,0.55890000,0.14120000,1.36730000,0.15263000,0.21980000,12.13560000,6.68930000,0.50550000,0.29910000
1655,18180.01000000,550.37000000,27.45400000,76.16000000,16.11500000,0.55188000,0.13743000,1.38340000,0.14904000,0.21740000,11.83770000,6.52000000,0.49920000,0.29500000
1656,18215.49000000,547.33000000,27.44180000,76.08000000,16.06700000,0.55231000,0.13815000,1.53420000,0.14922000,0.21550000,11.82510000,6.46010000,0.49980000,0.29560000
1657,18281.00000000,549.87000000,27.53600000,76.34000000,16.21900000,0.55560000,0.13862000,1.50240000,0.15119000,0.21650000,11.96090000,6.52060000,0.49910000,0.29790000
1658,18300.01000000,552.12000000,27.82070000,76.66000000,16.40700000,0.55936000,0.13914000,1.51000000,0.15148000,0.21740000,11.97610000,6.56340000,0.49910000,0.29870000
1659,18159.58000000,547.72000000,27.51030000,75.60000000,16.18300000,0.54856000,0.13670000,1.47650000,0.14971000,0.21570000,11.91860000,6.57280000,0.49550000,0.29580000
1660,18205.50000000,548.47000000,27.66200000,75.95000000,16.22000000,0.55083000,0.13721000,1.47990000,0.14935000,0.21730000,11.93940000,6.55270000,0.49720000,0.29550000
1661,18214.09000000,549.45000000,27.67190000,76.15000000,16.46000000,0.55269000,0.13830000,1.51200000,0.15031000,0.21870000,12.04230000,6.64260000,0.50010000,0.29770000
1662,17924.07000000,538.34000000,27.30310000,74.44000000,16.04200000,0.52783000,0.13336000,1.50180000,0.14617000,0.21180000,11.71850000,6.41920000,0.48570000,0.29090000
1663,17955.78000000,541.03000000,27.36580000,74.38000000,16.12400000,0.51891000,0.13517000,1.47720000,0.14440000,0.21160000,11.89720000,6.26410000,0.48350000,0.29110000
1664,18036.34000000,548.88000000,27.55530000,75.41000000,16.53700000,0.52304000,0.13830000,1.47840000,0.14607000,0.21450000,12.13360000,6.44020000,0.49070000,0.29870000
1665,18234.65000000,559.21000000,27.88870000,76.40000000,16.57900000,0.54254000,0.13977000,1.46850000,0.14970000,0.21700000,12.22040000,6.57210000,0.49630000,0.30190000
1666,18244.95000000,561.89000000,27.98170000,76.54000000,16.55900000,0.54939000,0.14149000,1.44390000,0.15724000,0.21750000,12.22260000,6.77090000,0.49630000,0.30260000
1667,18234.74000000,560.21000000,27.90750000,76.06000000,16.47800000,0.54606000,0.14264000,1.43180000,0.15845000,0.21700000,12.21330000,6.64270000,0.49350000,0.30040000
